,Player,FG-FGA,3P-3PA,FT-FTA,Off,Def,Tot,PF,TP,A,TO,Blk,Stl,Min,Date,Event
13,Alfred Swinton,1-5,0-1,2-2,0,4,4,3,4,1,4,1,1,20,07/19/2022,16U Peach Jam
14,Mekai Johnson,0-1,0-1,0-0,0,0,0,0,0,0,0,0,0,3,07/19/2022,16U Peach Jam
15,Nijel Howard,1-2,0-0,0-0,1,1,2,1,2,0,0,0,0,2,07/19/2022,16U Peach Jam
16,Garrett Sundra,1-3,0-0,0-0,2,4,6,1,2,2,0,1,1,18,07/19/2022,16U Peach Jam
17,Daniel Holmes,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0,07/19/2022,16U Peach Jam
18,Benjamin Hammond,3-7,0-0,0-0,2,0,2,1,6,0,1,0,1,15,07/19/2022,16U Peach Jam
19,Christian Gurdak,1-4,0-0,1-2,2,2,4,4,3,0,2,1,1,13,07/19/2022,16U Peach Jam
20,Rulian Stewart,1-2,0-1,1-2,0,2,2,1,3,2,1,0,1,13,07/19/2022,16U Peach Jam
21,Caleb Williams,5-11,1-3,0-0,1,12,13,2,11,0,2,0,1,19,07/19/2022,16U Peach Jam
0,Jordyn Kee,1-1,1-1,0-0,0,0,0,0,3,0,0,0,0,9,07/22/2022,16U Peach Jam
1,Labaron Philon,8-18,0-2,2-3,2,1,3,1,18,1,2,0,4,31,07/22/2022,16U Peach Jam
2,Telrian Pringle,1-2,0-1,0-0,0,2,2,1,2,1,0,0,0,15,07/22/2022,16U Peach Jam
3,Elijah Duval,4-8,0-3,0-0,1,4,5,2,8,1,2,0,0,17,07/22/2022,16U Peach Jam
4,Sammie Yeanay,5-9,1-2,2-2,2,6,8,3,13,1,3,1,1,30,07/22/2022,16U Peach Jam
5,Ian Smikle,0-0,0-0,0-0,0,0,0,1,0,0,0,0,1,2,07/22/2022,16U Peach Jam
6,Jordan Tillery,1-3,1-3,0-0,0,2,2,1,3,3,3,0,2,20,07/22/2022,16U Peach Jam
7,Taveon Jones,2-7,1-4,0-0,0,3,3,0,5,2,3,0,2,22,07/22/2022,16U Peach Jam
8,Chandler Watts,0-0,0-0,0-0,0,1,1,2,0,1,0,0,0,13,07/22/2022,16U Peach Jam
9,James Moore,6-11,0-0,2-2,4,3,7,3,14,0,1,2,2,21,07/22/2022,16U Peach Jam
