Player,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Avery Warley-Talbert,NYL,3,0,11.7,0.3,1.7,0.2,0,0,,0.3,1.7,0.2,0.2,0.3,0.7,0.5,1,2.3,0,0,0.7,1.3,2.3,1
Erica Wheeler,IND,34,34,25,3.7,8.8,0.426,1.4,3.7,0.384,2.3,5.1,0.457,0.507,1.2,1.4,0.872,0.1,3,5,1.2,0.1,2.9,2.2,10.1
Sami Whitcomb,SEA,33,13,20.4,2.5,6.8,0.366,1.9,5.6,0.342,0.6,1.2,0.475,0.507,0.3,0.3,1,0.5,1.7,2.4,1.1,0.1,1.6,1.5,7.2
Sydney Wiese,LAS,32,16,20.6,1.7,4.5,0.385,1.1,2.9,0.366,0.7,1.6,0.42,0.503,0.3,0.3,1,0.2,1.3,1.8,0.5,0.3,1,0.8,4.8
Courtney Williams,CON,34,34,29.1,5.5,12.6,0.435,0.5,1,0.457,5,11.6,0.433,0.453,1.8,2.2,0.8,1.4,5.6,3.8,1.4,0.4,1.6,1.4,13.2
Elizabeth Williams,ATL,32,32,28.4,3.3,7.3,0.455,0,0,,3.3,7.3,0.455,0.455,2.6,3.5,0.732,3.1,6.5,1.2,0.8,1.7,1.3,2.2,9.3
Gabby Williams,CHI,33,2,16,2.3,5.5,0.414,0.2,1.2,0.171,2.1,4.2,0.486,0.434,0.9,1.2,0.725,0.4,2.2,2.1,0.7,0.2,1.7,1.2,5.6
Riquna Williams,LAS,23,14,25.8,4,10.5,0.384,2.3,6,0.391,1.7,4.5,0.375,0.496,1.9,2.2,0.88,0.6,2.6,1.6,1.1,0.2,1.2,2.5,12.3
A'ja Wilson,LVA,26,25,28.5,6.1,12.7,0.479,0,0,0,6.1,12.7,0.48,0.479,4.4,5.5,0.792,1.7,6.5,1.8,0.5,1.7,2.2,2,16.5
Tanisha Wright,NYL,31,17,19.8,1.7,4.2,0.415,0.5,1.2,0.368,1.3,3,0.435,0.469,0.8,1,0.806,0.7,2.8,4.1,1,0.3,1.8,2.2,4.7
Han Xu,NYL,18,0,7.9,1.3,3.2,0.414,0.3,0.6,0.5,1.1,2.7,0.396,0.457,0.1,0.1,0.5,0.1,0.8,0.1,0.2,0.2,0.1,0.3,3
Jackie Young,LVA,34,34,22.6,2.2,6.9,0.322,0.4,1.3,0.318,1.8,5.6,0.323,0.352,1.7,2.1,0.808,0.7,3.3,4.5,0.8,0.4,1.6,1.4,6.6
