PLAYER,TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,FP
Cody Zeller,MIA,MIA @ NYK,05/02/2023,L,7,2,1,1,100,0,0,-,0,0,-,0,1,1,0,0,0,1,2,4,2.2
Isaiah Hartenstein,NYK,NYK vs. MIA,05/02/2023,W,26,3,1,2,50.0,0,0,-,1,1,100,4,5,9,1,1,1,0,5,0,21.3
Caleb Martin,MIA,MIA @ NYK,05/02/2023,L,38,22,8,15,53.3,4,8,50.0,2,2,100,2,6,8,1,0,0,0,2,-14,33.1
Duncan Robinson,MIA,MIA @ NYK,05/02/2023,L,21,9,3,9,33.3,3,8,37.5,0,0,-,0,1,1,2,0,0,0,2,7,13.2
Gabe Vincent,MIA,MIA @ NYK,05/02/2023,L,41,21,7,17,41.2,4,12,33.3,3,3,100,0,2,2,5,0,0,0,3,0,30.9
Quentin Grimes,NYK,NYK vs. MIA,05/02/2023,W,26,3,1,3,33.3,0,2,0.0,1,1,100,0,3,3,0,0,1,0,2,3,9.6
Devin Booker,PHX,PHX @ DEN,05/01/2023,L,45,35,14,29,48.3,4,8,50.0,3,3,100,0,5,5,6,0,0,2,4,-7,48.0
James Harden,PHI,PHI @ BOS,05/01/2023,W,39,45,17,30,56.7,7,14,50.0,4,4,100,0,1,1,6,2,0,3,4,8,58.2
Georges Niang,PHI,PHI @ BOS,05/01/2023,W,13,3,1,3,33.3,1,3,33.3,0,0,-,0,1,1,1,0,0,1,0,2,4.7
Jalen McDaniels,PHI,PHI @ BOS,05/01/2023,W,11,0,0,2,0.0,0,1,0.0,0,0,-,1,0,1,0,0,0,0,0,-8,1.2
Grant Williams,BOS,BOS vs. PHI,05/01/2023,L,4,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,2,0.0
Paul Reed,PHI,PHI @ BOS,05/01/2023,W,37,10,3,4,75.0,0,0,-,4,4,100,4,9,13,2,1,1,0,4,8,34.6
Sam Hauser,BOS,BOS vs. PHI,05/01/2023,L,5,0,0,1,0.0,0,1,0.0,0,0,-,0,0,0,1,0,0,0,0,3,1.5
Al Horford,BOS,BOS vs. PHI,05/01/2023,L,30,11,5,8,62.5,1,4,25.0,0,0,-,3,3,6,3,0,3,2,0,-17,29.7
Marcus Smart,BOS,BOS vs. PHI,05/01/2023,L,35,12,4,7,57.1,0,2,0.0,4,4,100,1,2,3,7,0,0,6,3,-7,20.1
P.J. Tucker,PHI,PHI @ BOS,05/01/2023,W,37,0,0,0,-,0,0,-,0,0,-,2,3,5,1,2,0,1,4,6,12.5
Tobias Harris,PHI,PHI @ BOS,05/01/2023,W,42,18,8,16,50.0,2,5,40.0,0,0,-,0,5,5,3,1,1,0,1,0,34.5
Jaylen Brown,BOS,BOS vs. PHI,05/01/2023,L,42,23,8,10,80.0,3,4,75.0,4,4,100,1,5,6,4,1,0,4,1,-2,35.2
Christian Braun,DEN,DEN vs. PHX,05/01/2023,W,16,2,1,2,50.0,0,0,-,0,0,-,0,3,3,0,0,0,0,3,15,5.6
Jock Landale,PHX,PHX @ DEN,05/01/2023,L,5,0,0,0,-,0,0,-,0,0,-,1,0,1,0,1,0,0,0,-9,4.2
