Player,FG%,FGA,3P%,3PA,FT%,ORB,DRB,AST,STL,BLK,TOV,PTS,Hierarchical
Stephen Curry,0.472,0.7857142857142857,0.437,0.8863636363636364,0.916,0.12962962962962962,0.42342342342342343,0.485981308411215,0.5909090909090908,0.14814814814814814,0.5599999999999999,0.7507082152974504,8
Troy Daniels,0.411,0.19747899159663865,0.381,0.2878787878787879,0.783,0.05555555555555555,0.10810810810810811,0.04672897196261683,0.22727272727272727,0.037037037037037035,0.1,0.15297450424929177,1
Anthony Davis,0.517,0.7394957983193278,0.331,0.196969696969697,0.794,0.5740740740740741,0.8018018018018018,0.36448598130841126,0.7272727272727273,0.8888888888888888,0.4,0.7110481586402265,5
Deyonta Davis,0.682,0.07142857142857142,0,0.007575757575757577,0.6,0.20370370370370372,0.26126126126126126,0.056074766355140186,0.13636363636363635,0.2222222222222222,0.06,0.09065155807365438,1
Ed Davis,0.616,0.12605042016806722,0,0,0.617,0.5,0.5315315315315315,0.07476635514018692,0.18181818181818182,0.14814814814814814,0.16,0.14164305949008496,1
Dewayne Dedmon,0.492,0.315126050420168,0.382,0.25757575757575757,0.814,0.2962962962962963,0.5315315315315315,0.1308411214953271,0.5,0.40740740740740744,0.26,0.2832861189801699,4
Sam Dekker,0.469,0.19747899159663865,0.306,0.0984848484848485,0.609,0.20370370370370372,0.1801801801801802,0.09345794392523366,0.36363636363636365,0.037037037037037035,0.1,0.15014164305949007,1
Matthew Dellavedova,0.405,0.18067226890756302,0.338,0.20454545454545456,0.808,0.018518518518518517,0.13513513513513514,0.35514018691588783,0.13636363636363635,0,0.27999999999999997,0.14447592067988668,1
Luol Deng,0.5,0.19747899159663865,0.318,0.15151515151515152,0.714,0.16666666666666666,0.21621621621621623,0.07476635514018692,0.3181818181818181,0.14814814814814814,0.12,0.17847025495750707,1
DeMar DeRozan,0.481,0.689075630252101,0.156,0.045454545454545456,0.83,0.12962962962962962,0.4774774774774775,0.5794392523364487,0.5,0.18518518518518517,0.52,0.5779036827195466,7
Marcus Derrickson,0.485,0.09663865546218486,0.5,0.13636363636363638,0.8,0.12962962962962962,0.04504504504504505,0.009345794392523366,0,0.037037037037037035,0.06,0.09631728045325778,1
Cheick Diallo,0.62,0.14705882352941177,0.25,0.007575757575757577,0.746,0.2222222222222222,0.3603603603603604,0.04672897196261683,0.22727272727272727,0.18518518518518517,0.16,0.14730878186968838,1
Hamidou Diallo,0.455,0.10504201680672269,0.167,0.03787878787878788,0.61,0.12962962962962962,0.10810810810810811,0.028037383177570093,0.18181818181818182,0.07407407407407407,0.1,0.0821529745042493,2
Gorgui Dieng,0.501,0.18067226890756302,0.339,0.05303030303030303,0.83,0.20370370370370372,0.2702702702702703,0.08411214953271029,0.2727272727272727,0.18518518518518517,0.16,0.15864022662889518,1
Spencer Dinwiddie,0.442,0.4831932773109244,0.335,0.4090909090909091,0.806,0.07407407407407407,0.1891891891891892,0.42990654205607476,0.2727272727272727,0.1111111111111111,0.44000000000000006,0.4532577903682719,6
Donte DiVincenzo,0.403,0.16386554621848737,0.265,0.23484848484848486,0.75,0.1111111111111111,0.16216216216216217,0.10280373831775702,0.22727272727272727,0.07407407407407407,0.13999999999999999,0.11614730878186968,1
Luka Dončić,0.427,0.6638655462184874,0.327,0.5378787878787878,0.713,0.2222222222222222,0.5945945945945946,0.5607476635514019,0.5,0.1111111111111111,0.6799999999999999,0.5779036827195466,7
Tyler Dorsey,0.405,0.20168067226890754,0.333,0.21212121212121213,0.623,0.1111111111111111,0.16216216216216217,0.11214953271028037,0.13636363636363635,0,0.12,0.15297450424929177,1
Damyean Dotson,0.415,0.3739495798319328,0.368,0.3560606060606061,0.745,0.09259259259259259,0.2792792792792793,0.16822429906542058,0.36363636363636365,0.037037037037037035,0.2,0.28045325779036817,1
PJ Dozier,0.381,0.1176470588235294,0.25,0.0984848484848485,0.5,0.18518518518518517,0.16216216216216217,0.07476635514018692,0.13636363636363635,0,0,0.0679886685552408,2
Goran Dragić,0.413,0.4747899159663866,0.348,0.34848484848484845,0.782,0.1111111111111111,0.22522522522522523,0.4485981308411215,0.36363636363636365,0.037037037037037035,0.4,0.36543909348441916,6
Andre Drummond,0.533,0.5294117647058824,0.132,0.03787878787878788,0.59,1,0.9189189189189189,0.1308411214953271,0.7727272727272726,0.6296296296296295,0.44000000000000006,0.4674220963172804,3
Jared Dudley,0.423,0.14285714285714282,0.351,0.196969696969697,0.696,0.1111111111111111,0.1891891891891892,0.1308411214953271,0.2727272727272727,0.1111111111111111,0.13999999999999999,0.11614730878186968,1
Kris Dunn,0.425,0.4327731092436975,0.354,0.15909090909090912,0.797,0.07407407407407407,0.33333333333333337,0.5607476635514019,0.6818181818181818,0.18518518518518517,0.45999999999999996,0.29745042492917845,6
Kevin Durant,0.521,0.7142857142857143,0.353,0.3787878787878788,0.885,0.07407407407407407,0.5315315315315315,0.5514018691588786,0.3181818181818181,0.40740740740740744,0.58,0.7138810198300283,7
Henry Ellenson,0.411,0.18067226890756302,0.447,0.15151515151515152,0.76,0.05555555555555555,0.2882882882882883,0.07476635514018692,0.18181818181818182,0.037037037037037035,0.1,0.14730878186968838,1
Wayne Ellington,0.403,0.3319327731092437,0.371,0.5303030303030303,0.796,0.05555555555555555,0.16216216216216217,0.1308411214953271,0.45454545454545453,0.037037037037037035,0.16,0.26912181303116145,1
Joel Embiid,0.484,0.7563025210084033,0.3,0.3106060606060606,0.804,0.4629629629629629,1,0.3457943925233645,0.3181818181818181,0.7037037037037036,0.7,0.7563739376770537,5
James Ennis,0.469,0.18487394957983191,0.353,0.20454545454545456,0.716,0.18518518518518517,0.1891891891891892,0.06542056074766354,0.3181818181818181,0.14814814814814814,0.12,0.16713881019830026,1
Jacob Evans,0.34,0.046218487394957986,0.267,0.03787878787878788,0,0.037037037037037035,0.05405405405405406,0.07476635514018692,0.09090909090909091,0.037037037037037035,0.08,0.014164305949008497,2
