District_Name,County_Name,District_Type,Enrollment_District,AmericanIndian_AlaskaNative,Asian,Black_AfricanAmerican,Filipino,Hispanic_Latino,NativeHawaiian_PacIslander,Two_orMoreRaces,NoneReported,White,Nonwhite,CAASPP-Math,CAASPP-ELA,FederalRevenue,StateRevenue,LocalRevenue,LCFF
Claremont Unified (Los Angeles),Los Angeles,Unified School District,7075,0.2,10.1,4.5,1.4,42.4,0.2,5.7,2.2,33.5,66.5,51.45,64.21,363,924,1349,8630
Clay Joint Elementary (Fresno),Fresno,Elementary School District,255,0,3.5,0,0,29.4,0,3.9,3.1,60,40,68.39,80.35,390,719,430,7704
Clear Creek Elementary (Nevada),Nevada,Elementary School District,162,0,0,0,0,10.5,0,2.5,0,87,13,61.02,66.95,512,785,947,7862
Cloverdale Unified (Sonoma),Sonoma,Unified School District,1440,2.6,1,0.4,0,55.2,0.1,2.8,0.3,37.5,62.5,27.69,33.84,448,1511,819,9315
Clovis Unified (Fresno),Fresno,Unified School District,43106,0.7,13.7,3.2,2.2,37.6,0.3,3.1,0,39.3,60.7,57.86,70.89,410,1503,466,8561
Coachella Valley Unified (Riverside),Riverside,Unified School District,18372,0.5,0.1,0.2,0.1,97.6,0,0.2,0.5,0.8,99.2,19.06,28.21,1328,1352,423,11087
Coalinga-Huron Unified (Fresno),Fresno,Unified School District,4450,0.3,1.7,0.8,0.4,84.5,0,0.8,1.5,9.9,90.1,13.67,26.1,1200,1001,610,10265
Coast Unified (San Luis Obispo),San Luis Obispo,Unified School District,606,0.2,0.3,0.3,0.5,66.3,0.2,1.5,1.7,29,71,40.51,50,518,1625,1091,18586
Coffee Creek Elementary (Trinity),Trinity,Elementary School District,5,0,0,0,0,0,0,0,0,100,0,redacted,redacted,9660,8208,5180,40474
Cold Spring Elementary (Santa Barbara),Santa Barbara,Elementary School District,170,0,4.7,1.2,0,9.4,0,2.4,2.4,80,20,90.22,92.31,70,1935,4128,22773
Colfax Elementary (Placer),Placer,Elementary School District,349,0.3,0.6,0.3,0,9.7,0,8.3,0,80.8,19.2,35.74,40.85,606,1404,831,8688
College Elementary (Santa Barbara),Santa Barbara,Elementary School District,396,3.5,0.3,0.5,0.3,40.4,0.3,4.8,2.3,47.7,52.3,53.38,62.69,225,1443,2050,23111
Colton Joint Unified (San Bernardino),San Bernardino,Unified School District,22561,0.2,1.4,5.6,0.9,84.6,0.3,0.9,0,6.1,93.9,24.53,39.59,661,1083,521,10316
Columbia Elementary (Shasta),Shasta,Elementary School District,1357,1.9,2.4,0.6,0.3,10.5,0,8.9,0.9,74.4,25.6,52.71,55,420,893,2257,8437
Columbia Union (Tuolumne),Tuolumne,Elementary School District,495,1.8,1.6,1.6,1.8,11.5,0.8,0,6.5,74.3,25.7,29.97,35.96,398,866,383,9572
Columbine Elementary (Tulare),Tulare,Elementary School District,200,0,4,1,3,83.5,0,3,0,5.5,94.5,60.83,69.17,367,1100,21,9356
Colusa County Office of Education (Colusa),Colusa,County Office of Education (COE),20,5,5,0,0,40,0,5,0,45,55,7.14,0,N/A,N/A,N/A,N/A
Colusa Unified (Colusa),Colusa,Unified School District,1450,3.8,1,0.6,0,69.4,0.2,0.4,0.3,24.1,75.9,30.18,42.05,273,1293,131,9636
Compton Unified (Los Angeles),Los Angeles,Unified School District,23665,0.2,0.1,17.9,0,79,0.5,0.3,1.4,0.5,99.5,26.47,34.85,1122,1427,311,10473
Conejo Valley Unified (Ventura),Ventura,Unified School District,18733,0.3,9.7,1.4,1.2,27,0.3,5,0,55.1,44.9,57.13,63.28,309,676,896,8519
Contra Costa County Office of Education (Contra Costa),Contra Costa,County Office of Education (COE),5154,0.4,5.2,10.4,3.3,42.4,0.7,5.5,2.7,29.4,70.6,4.35,5.17,N/A,N/A,N/A,N/A
Corcoran Joint Unified (Kings),Kings,Unified School District,3320,0.2,0.5,3,0.2,90.4,0,0.1,0.1,5.7,94.3,19.2,33.26,765,1132,507,10245
Corning Union Elementary (Tehama),Tehama,Elementary School District,2112,1.8,1.3,0.8,0.3,67.9,0,0.3,0,27.7,72.3,23.49,28.09,690,829,629,9964
Corning Union High (Tehama),Tehama,High School District,974,1.2,0.9,0.8,0.3,55.6,0,1.2,4.8,35,65,21.62,43.05,918,1184,1241,10587
Corona-Norco Unified (Riverside),Riverside,Unified School District,53294,0.4,9.9,5.9,3.1,53,0.4,1.7,0.5,25.1,74.9,45.69,61.39,424,1665,174,8640
Coronado Unified (San Diego),San Diego,Unified School District,2946,0.4,2,1.5,1.9,20,0.4,6.3,3.1,64.3,35.7,67.02,76.03,1104,1035,1405,8561
Cotati-Rohnert Park Unified (Sonoma),Sonoma,Unified School District,6198,0.6,3,1.7,0.8,41.8,0.3,6.8,1.3,43.7,56.3,30.96,47.68,449,1002,1312,9027
Cottonwood Union Elementary (Shasta),Shasta,Elementary School District,1163,3.1,1.8,1.3,0.2,14.9,0.3,5.9,0.4,72.1,27.9,44.9,47.1,476,1010,815,8576
Covina-Valley Unified (Los Angeles),Los Angeles,Unified School District,11862,0.3,5.8,2.6,3.1,78.7,0.2,0.8,0.1,8.4,91.6,36.57,52.72,599,1631,638,9937
Cucamonga Elementary (San Bernardino),San Bernardino,Elementary School District,2458,0.3,3.5,14,2.5,70.1,0.2,1.4,0.1,8,92,27.88,40.58,549,1225,463,11957
Cuddeback Union Elementary (Humboldt),Humboldt,Elementary School District,143,3.5,0,0,0,9.1,0,5.6,2.1,79.7,20.3,28.21,34.62,424,1738,1046,8511
Culver City Unified (Los Angeles),Los Angeles,Unified School District,7048,0.3,10.4,13.6,1.6,37.9,0.3,9.3,0.3,26.4,73.6,55.64,69.12,371,1669,481,8427
Cupertino Union (Santa Clara),Santa Clara,Elementary School District,18017,0.1,73.6,0.6,1,5,0.1,3.8,0.8,15,85,86.17,85.26,235,931,1115,8390
Curtis Creek Elementary (Tuolumne),Tuolumne,Elementary School District,441,2.7,0.5,0.5,0.2,17.7,0,1.8,2.7,73.9,26.1,36.23,47.69,423,1365,1367,9508
Cutler-Orosi Joint Unified (Tulare),Tulare,Unified School District,4125,0.1,0.1,0.1,2.9,95,0,0.1,0,1.6,98.4,33.85,38.75,1251,1258,872,11077
Cutten Elementary (Humboldt),Humboldt,Elementary School District,601,6.5,4.2,0.7,0.3,16.6,0.2,11.6,0,59.9,40.1,45.98,50,762,828,464,8503
Cuyama Joint Unified (Santa Barbara),Santa Barbara,Unified School District,761,0.7,1.4,3.2,0.4,38,0.3,1.1,0.9,54.1,45.9,16.67,34.38,570,1068,1399,14180
Cypress Elementary (Orange),Orange,Elementary School District,3957,0.2,35.5,3,5.4,27.1,0.6,5.6,0.2,22.4,77.6,66.32,68.67,381,1494,812,8155
Davis Joint Unified (Yolo),Yolo,Unified School District,8630,0.3,16.3,2.9,1.3,21.1,0.3,6.2,0.2,51.4,48.6,65.84,70.44,341,1053,2036,8300
Death Valley Unified (Inyo),Inyo,Unified School District,26,3.8,0,0,0,19.2,0,15.4,0,61.5,38.5,6.67,20,2425,3719,4891,38061
Dehesa Elementary (San Diego),San Diego,Elementary School District,8677,0.5,3.7,3.8,1.1,27.4,0.3,7.1,1.8,54.2,45.8,36.84,28.42,2445,2896,30680,10503
Del Mar Union Elementary (San Diego),San Diego,Elementary School District,4453,0.2,31.6,0.8,0.9,11,0.1,6.9,0,48.5,51.5,83.97,86.24,281,998,988,11002
Del Norte County Office of Education (Del Norte),Del Norte,County Office of Education (COE),600,11,1.3,0.2,0.3,16,0,7.7,0,63.5,36.5,7.38,23.18,N/A,N/A,N/A,N/A
Del Norte County Unified (Del Norte),Del Norte,Unified School District,3628,14.4,4.8,1,0.7,22.7,0.2,5.3,0,50.9,49.1,24.74,34.85,1034,811,1263,9560
Delano Joint Union High (Kern),Kern,High School District,4314,0,0.8,0.4,10.1,86.8,0.1,0.3,0,1.4,98.6,36.34,63.69,1141,749,834,12222
Delano Union Elementary (Kern),Kern,Elementary School District,7145,0.2,0.7,0.3,8.7,87.9,0,0.5,0.3,1.2,98.8,26.5,38.87,1235,1355,1264,10663
Delhi Unified (Merced),Merced,Unified School District,2561,0,2.7,0.2,0.2,90.7,0.1,0.2,0,5.8,94.2,23.77,36.33,782,1237,352,10796
Delphic Elementary (Siskiyou),Siskiyou,Elementary School District,61,6.6,0,0,0,11.5,0,18,8.2,55.7,44.3,17.95,20.51,330,1263,2040,10042
Denair Unified (Stanislaus),Stanislaus,Unified School District,1273,0.4,0.7,0.7,0.1,49.2,0.1,2.4,2.4,44,56,12.56,26.44,629,726,830,9796
Desert Center Unified (Riverside),Riverside,Unified School District,15,0,0,0,0,40,0,0,0,60,40,35.71,57.14,2276,3184,1945,77241
Desert Sands Unified (Riverside),Riverside,Unified School District,28708,0.3,2,1.6,0.8,73.4,0.1,1.4,1.4,18.9,81.1,34.75,48.48,670,1214,1608,9921
Di Giorgio Elementary (Kern),Kern,Elementary School District,211,0,0,0,0,97.2,0,0,0,2.8,97.2,14.09,25,811,1269,800,11241
Dinuba Unified (Tulare),Tulare,Unified School District,6579,0.5,1.3,0.3,0.8,92.2,0,0,0,4.9,95.1,31.28,43.12,1064,884,446,10146
Dixie Elementary (Marin),Marin,Elementary School District,1984,0.1,9.3,1.6,1.2,15.4,0.3,7.3,0.2,64.8,35.2,68.44,75.98,248,1113,2360,8223
Dixon Unified (Solano),Solano,Unified School District,3652,0.4,0.9,1.8,1.4,57.7,0.4,3.9,1.4,32.1,67.9,33.53,40.6,455,1062,447,9177
Dos Palos Oro Loma Joint Unified (Merced),Merced,Unified School District,2404,1.7,0.3,2.7,0.3,80.1,0.3,0.2,0.6,13.9,86.1,12.43,24.05,931,1155,234,10973
Douglas City Elementary (Trinity),Trinity,Elementary School District,175,1.7,2.3,0,0,11.4,0,12.6,0,72,28,73.04,66.09,1477,1891,1067,9167
Downey Unified (Los Angeles),Los Angeles,Unified School District,21962,0.2,1.8,2.7,0.9,89.1,0.2,0.6,0,4.6,95.4,38.57,52.2,593,1085,663,9847
Dry Creek Joint Elementary (Placer),Placer,Elementary School District,6866,0.6,7.8,4.1,2.1,20.3,0.6,9.6,0.2,54.7,45.3,46.95,58.83,331,872,435,8189
Duarte Unified (Los Angeles),Los Angeles,Unified School District,4318,0.7,5.3,3.7,3.8,66.2,0.1,3.1,6.7,10.4,89.6,37.2,53.3,691,1328,1474,10055
Dublin Unified (Alameda),Alameda,Unified School District,11294,0.3,49.7,3.4,5.5,11.2,0.3,8.2,0,21.4,78.6,73.59,78.47,164,873,852,8255
Ducor Union Elementary (Tulare),Tulare,Elementary School District,170,0,0,0,0,97.6,0,0,0,2.4,97.6,10.48,21.9,854,1049,72,11210
Dunham Elementary (Sonoma),Sonoma,Elementary School District,193,0,0,0,0,19.7,1.6,8.3,0.5,69.9,30.1,61.46,66.32,299,1043,1824,9428
Dunsmuir Elementary (Siskiyou),Siskiyou,Elementary School District,87,2.3,0,1.1,0,21.8,0,8,0,66.7,33.3,19.05,33.33,1301,1031,1822,11324
Dunsmuir Joint Union High (Siskiyou),Siskiyou,High School District,63,1.6,0,1.6,0,19,0,9.5,0,68.3,31.7,7.14,57.14,1312,2771,1683,25931
Durham Unified (Butte),Butte,Unified School District,1018,0.5,0.2,0.6,0.1,21.5,0,4.4,0,72.7,27.3,48.11,53.88,278,1431,450,8622
Earlimart Elementary (Tulare),Tulare,Elementary School District,1833,0,0.3,0.3,1.6,95.6,0,0.1,1.4,0.7,99.3,16.88,30.59,1291,937,478,11018
East Nicolaus Joint Union High (Sutter),Sutter,High School District,311,1.3,3.9,1.3,0.6,20.3,1.3,1.9,0.6,68.8,31.2,30.77,62.82,345,1359,955,10222
East Side Union High (Santa Clara),Santa Clara,High School District,27263,0.3,32.4,2.3,6.9,50.8,0.5,1.9,0.1,4.9,95.1,39.96,61.29,494,1187,509,10195
East Whittier City Elementary (Los Angeles),Los Angeles,Elementary School District,8650,0.1,1.6,0.8,0.9,84.7,0.2,1.2,0.2,10.5,89.5,48.51,61.31,399,577,643,8917
Eastern Sierra Unified (Mono),Mono,Unified School District,417,8.4,0.2,0,0.5,38.6,0,0.2,0.7,51.3,48.7,26.58,46.15,2249,1734,1783,20403
Eastside Union Elementary (Los Angeles),Los Angeles,Elementary School District,3402,0.2,0.5,22.2,1.3,63.7,0.2,3.6,0.1,8.2,91.8,13.65,24.73,465,647,708,10072
Edison Elementary (Kern),Kern,Elementary School District,1041,1.2,0.3,1.9,0,81.4,0,1.9,1.9,11.3,88.7,26.62,35.64,789,929,650,10276
El Centro Elementary (Imperial),Imperial,Elementary School District,6145,0.1,0.3,1.2,0.1,94.8,0,0.4,0.7,2.5,97.5,29.83,42.8,1084,1147,530,10114
El Dorado County Office of Education (El Dorado),El Dorado,County Office of Education (COE),1261,1.8,2.9,4.7,0.6,19.4,0.2,5.1,1,64.3,35.7,26.65,44.7,N/A,N/A,N/A,N/A
El Dorado Union High (El Dorado),El Dorado,High School District,6665,0.9,4.5,1,1.4,15.9,0.2,5.6,0.1,70.4,29.6,52.81,67.91,298,1015,890,9354
El Monte City (Los Angeles),Los Angeles,Elementary School District,8233,0,17.9,0.2,0.6,80,0.1,0,0,1.2,98.8,37.56,50.5,920,1179,699,10504
El Monte Union High (Los Angeles),Los Angeles,High School District,8880,0.1,20.8,0.3,0.7,76.5,0.1,0.1,0,1.4,98.6,30.42,56.05,720,1020,1080,12128
El Nido Elementary (Merced),Merced,Elementary School District,166,1.2,1.2,0,0,86.1,0,0,0,11.4,88.6,18.1,30.17,635,2310,582,10131
El Rancho Unified (Los Angeles),Los Angeles,Unified School District,8674,0,0.4,0.3,0.4,97.7,0,0.1,0,1,99,26.35,42.4,660,880,497,10132
El Segundo Unified (Los Angeles),Los Angeles,Unified School District,3474,0.3,7,4.6,1.2,20.3,0.5,14.1,0.1,51.9,48.1,63.42,74.97,225,1406,1611,8162
El Tejon Unified (Kern),Kern,Unified School District,754,1.5,0.7,1.1,0.9,39.8,0.1,2.5,2.1,51.3,48.7,27.95,43.39,927,1786,1056,10651
Elk Grove Unified (Sacramento),Sacramento,Unified School District,63297,0.6,24,12,5.9,26.6,1.7,9.2,0,20,80,44.68,55.15,635,1583,250,8879
Elk Hills Elementary (Kern),Kern,Elementary School District,187,0,0,2.1,0,9.1,0,2.1,0,86.6,13.4,13.39,20.63,186,1297,65,9047
Elkins Elementary (Tehama),Tehama,Elementary School District,15,0,0,0,0,13.3,0,13.3,0,73.3,26.7,41.67,41.67,2143,379,1638,9975
Elverta Joint Elementary (Sacramento),Sacramento,Elementary School District,312,1.9,3.5,12.8,0.6,33,1,7.7,0.6,38.8,61.2,17.88,22.91,436,1259,858,9863
Emery Unified (Alameda),Alameda,Unified School District,690,0.3,11.9,44.2,1.3,24.5,1.3,6.8,0,9.7,90.3,20.59,28.24,467,1447,6442,10117
Empire Union Elementary (Stanislaus),Stanislaus,Elementary School District,3020,0.4,3.2,4.1,0.8,61.4,1,3.9,1.9,23.4,76.6,31.55,40.8,655,409,1160,10153
Encinitas Union Elementary (San Diego),San Diego,Elementary School District,5350,0.5,4.4,0.8,0.8,21.3,0.1,4,0.1,68,32,70.79,74.7,399,942,948,9442
Enterprise Elementary (Shasta),Shasta,Elementary School District,3782,2.3,7.2,1.8,0.2,16.6,0.2,9.7,3.5,58.6,41.4,34.45,46.98,686,995,729,9142
Escalon Unified (San Joaquin),San Joaquin,Unified School District,2935,0.2,1.4,0.5,0.4,47.8,0.1,2.2,0.5,46.7,53.3,32.66,45.07,488,911,406,8947
Escondido Union (San Diego),San Diego,Elementary School District,18695,0.2,2.3,1.4,1.6,71.7,0.1,2.9,0.7,19.1,80.9,29.54,41.8,753,969,972,9694
Escondido Union High (San Diego),San Diego,High School District,9480,0.3,3.3,2.1,2.2,63.7,0.3,1.7,0.5,25.9,74.1,23.1,56.87,775,1097,973,10707
Esparto Unified (Yolo),Yolo,Unified School District,950,0.8,0.8,1.1,0.7,76.4,0,1.4,0,18.7,81.3,19.83,27.12,484,1475,878,10236
Etiwanda Elementary (San Bernardino),San Bernardino,Elementary School District,14111,0.2,12.2,9.8,4.3,44.3,0.2,4.7,0.9,23.3,76.7,60.69,70.89,333,875,1324,7986
Eureka City Schools (Humboldt),Humboldt,Unified School District,3929,5.4,11,2.2,0.6,22.4,1.5,9.3,0,47.6,52.4,24.67,34.4,1236,1219,697,9793
Eureka Union (Placer),Placer,Elementary School District,3383,0.7,8.8,2.2,2,11.8,0.1,9,1.2,64.1,35.9,67.42,77.77,260,918,890,8060
Evergreen Elementary (Santa Clara),Santa Clara,Elementary School District,11385,0.3,55.2,1.3,7,24.4,0.5,4.1,1.4,5.8,94.2,61.25,64.94,347,1177,513,8583
Evergreen Union (Tehama),Tehama,Elementary School District,1225,3.3,0.8,0.7,0.2,15.4,0.1,5.2,0,74.2,25.8,38.76,50.97,540,855,695,8596
Exeter Unified (Tulare),Tulare,Unified School District,2834,0.8,0.5,0.7,0.3,60.9,0.1,0.6,1,35.2,64.8,32.37,44.65,758,931,440,9664
Fairfax Elementary (Kern),Kern,Elementary School District,2705,0.2,2.1,2.6,0.2,87.5,0.1,0.9,1.5,5,95,18.97,29.07,806,748,588,9827
Fairfield-Suisun Unified (Solano),Solano,Unified School District,21539,0.5,5.6,15,8.9,42.5,1.1,8.3,0.1,18.1,81.9,31.73,44.29,457,861,295,8854
Fall River Joint Unified (Shasta),Shasta,Unified School District,1209,8.6,0.2,0.1,0.1,26,0.2,6.7,0.7,57.6,42.4,35.28,37.5,620,1419,705,11117
Fallbrook Union Elementary (San Diego),San Diego,Elementary School District,4864,0.1,0.7,2.9,0.5,61.6,0.4,3.9,0,29.9,70.1,45.02,56.54,1967,989,642,9275
Fallbrook Union High (San Diego),San Diego,High School District,2165,0.8,0.6,1.4,0.8,66.7,0.3,1.9,0.7,26.8,73.2,24.02,51.54,1440,1264,913,10615
Farmersville Unified (Tulare),Tulare,Unified School District,2532,0.2,0.5,0.3,0,94.7,0,0,0,4.2,95.8,12.44,23.07,1065,1164,422,10868
Feather Falls Union Elementary (Butte),Butte,Elementary School District,79,22.8,0,3.8,0,24.1,0,17.7,0,31.6,68.4,redacted,redacted,1988,3463,5177,18039
Ferndale Unified (Humboldt),Humboldt,Unified School District,499,4.8,0.4,0.4,0,21.4,0,0,0,72.9,27.1,32.93,42.8,1507,977,442,10487
Fieldbrook Elementary (Humboldt),Humboldt,Elementary School District,151,6,1.3,1.3,0.7,4,0.7,14.6,0.7,70.9,29.1,48.45,61.86,389,881,588,8237
Fillmore Unified (Ventura),Ventura,Unified School District,3751,0.3,0.2,0.1,0.3,92.1,0,0.6,0,6.3,93.7,19.49,27.38,718,1037,921,10061
Firebaugh-Las Deltas Unified (Fresno),Fresno,Unified School District,2260,0,0.3,0.1,0,95.3,0,0,0.4,3.9,96.1,27.41,45.77,947,1050,696,11041
Flournoy Union Elementary (Tehama),Tehama,Elementary School District,26,0,0,0,0,15.4,3.8,0,0,80.8,19.2,8.33,58.33,700,493,1452,10766
Folsom-Cordova Unified (Sacramento),Sacramento,Unified School District,20353,0.4,15.5,5.1,2.3,20.7,0.8,6.8,0.3,48.1,51.9,52.58,63.61,527,1469,343,8443
Fontana Unified (San Bernardino),San Bernardino,Unified School District,37176,0.1,1.2,5.3,1.1,87.2,0.3,0.9,0,3.9,96.1,23.22,38.44,731,1722,216,10718
Foresthill Union Elementary (Placer),Placer,Elementary School District,406,1.2,1.2,1,0.5,12.3,0.5,2,2.5,78.8,21.2,34.95,49.54,576,950,1083,9060
Forestville Union Elementary (Sonoma),Sonoma,Elementary School District,263,0.4,0,0.8,0,31.2,0,6.8,0,60.8,39.2,28.39,41.94,715,1026,2051,15394
Forks of Salmon Elementary (Siskiyou),Siskiyou,Elementary School District,9,0,0,0,0,0,0,0,22.2,77.8,22.2,redacted,redacted,2385,948,4807,23026
Fort Bragg Unified (Mendocino),Mendocino,Unified School District,1920,1,0.7,0.8,0.1,41.2,0.1,5.4,1.7,49.1,50.9,27.65,41.76,762,1167,1076,9698
Fort Ross Elementary (Sonoma),Sonoma,Elementary School District,19,0,0,0,0,42.1,0,0,0,57.9,42.1,33.33,33.33,1247,1711,8486,24498
Fort Sage Unified (Lassen),Lassen,Unified School District,254,5.1,0,1.6,0.4,13.8,1.2,8.3,0.4,69.3,30.7,19.71,35.97,722,2179,1128,14781
Fortuna Elementary (Humboldt),Humboldt,Elementary School District,1347,3.3,1.4,0.4,0.2,35.4,0.2,6.5,0.2,52.3,47.7,24.27,35.99,820,1299,979,9679
Fortuna Union High (Humboldt),Humboldt,High School District,1080,2.7,1.3,0.4,0.4,23.8,0.1,8.2,0.6,62.6,37.4,25.19,50.19,566,2310,967,10236
Fountain Valley Elementary (Orange),Orange,Elementary School District,6362,0.3,35.9,0.7,1.6,17.4,0.5,5.3,1.1,37.2,62.8,73.06,75.3,273,820,940,7854
Fowler Unified (Fresno),Fresno,Unified School District,2609,0.2,9.4,0.8,0,79.8,0,0.5,0.3,9,91,33.93,50.5,663,838,709,9934
Franklin Elementary (Sutter),Sutter,Elementary School District,478,0.4,8.8,0.8,0,23.2,0,7.5,3.3,55.9,44.1,65.51,70.25,462,988,582,8148
Franklin-McKinley Elementary (Santa Clara),Santa Clara,Elementary School District,10596,0.1,31.1,1.5,3.5,60.2,0.3,1.5,0.2,1.6,98.4,37.87,44.66,683,1244,800,10497
Fremont Unified (Alameda),Alameda,Unified School District,35777,0.2,63,2,5.2,14.5,0.6,2.9,0.2,11.3,88.7,73.07,76.87,340,1508,422,8456
Fremont Union High (Santa Clara),Santa Clara,High School District,11140,0.1,59.1,0.8,2.5,14.6,0.2,5.2,0,17.4,82.6,75.55,80.35,267,1122,809,12114
French Gulch-Whiskeytown Elementary (Shasta),Shasta,Elementary School District,29,0,0,0,0,10.3,0,27.6,3.4,58.6,41.4,56.25,37.5,2612,1596,810,14355
Freshwater Elementary (Humboldt),Humboldt,Elementary School District,354,3.1,1.1,0.3,0,15,0,8.5,0,72,28,55.8,60.71,419,880,1107,8236
Fresno County Office of Education (Fresno),Fresno,County Office of Education (COE),3473,0.9,3.3,11.1,0.2,68.1,0.2,2.1,0.6,13.5,86.5,0,4.19,N/A,N/A,N/A,N/A
Fresno Unified (Fresno),Fresno,Unified School District,73455,0.6,10.7,8.1,0.4,68.1,0.4,2,0,9.7,90.3,26.89,36.76,1176,1849,260,10519
Fruitvale Elementary (Kern),Kern,Elementary School District,3240,1.8,3.5,4.3,2.5,39.2,0.4,0.6,0.7,46.9,53.1,50.21,58.16,350,948,697,8125
Fullerton Elementary (Orange),Orange,Elementary School District,13307,0.1,21,1.3,2.1,52.5,0.1,5.7,0.4,16.6,83.4,50.97,59.02,503,1058,842,8425
Fullerton Joint Union High (Orange),Orange,High School District,13901,0.2,18.9,2,3.5,56.1,0.4,2.4,0.2,16.4,83.6,41.95,62.2,489,1142,1090,9658
Galt Joint Union Elementary (Sacramento),Sacramento,Elementary School District,3639,0.3,2.5,1.1,1.1,59.2,0.7,1.9,0.1,33.2,66.8,38.07,49.04,870,1081,771,8682
Galt Joint Union High (Sacramento),Sacramento,High School District,2184,0.1,1,1.4,0.3,54,0.3,5,0.8,37,63,29.6,47.32,561,2481,487,10388
Garden Grove Unified (Orange),Orange,Unified School District,43163,0.1,34.6,0.6,1.2,53.4,0.5,0.9,1.1,7.6,92.4,50.88,60,724,1843,224,10194
Garfield Elementary (Humboldt),Humboldt,Elementary School District,62,4.8,0,3.2,0,3.2,0,6.5,0,82.3,17.7,56.67,83.33,649,817,1444,10136
Garvey Elementary (Los Angeles),Los Angeles,Elementary School District,4670,0.1,58.1,0.4,1,37.6,0,0.6,0.7,1.5,98.5,53.54,56.36,1077,1281,1071,10178
Gateway Unified (Shasta),Shasta,Unified School District,2502,7,2.8,1.7,0.1,15.7,0.6,5.5,0.3,66.3,33.7,32.98,36.42,1204,1268,2045,10064
Gazelle Union Elementary (Siskiyou),Siskiyou,Elementary School District,26,15.4,0,3.8,0,19.2,0,3.8,0,57.7,42.3,redacted,17.65,663,1532,4847,11627
General Shafter Elementary (Kern),Kern,Elementary School District,147,0,0.7,0,0,91.8,0,0,0,7.5,92.5,54.02,55.81,734,910,1290,16774
Gerber Union Elementary (Tehama),Tehama,Elementary School District,414,4.1,0.7,0,0,65.2,0.2,2.7,1,26.1,73.9,14.61,25.09,620,1054,778,10507
Geyserville Unified (Sonoma),Sonoma,Unified School District,237,0,0.8,0.4,0,60.3,0,1.3,0,37.1,62.9,33.33,46.51,384,1722,1297,13596
Gilroy Unified (Santa Clara),Santa Clara,Unified School District,11834,0.5,3.9,1.2,2.3,69.9,0.2,2.5,3,16.7,83.3,40.47,47.33,629,1087,224,9836
Glendale Unified (Los Angeles),Los Angeles,Unified School District,26071,0.2,11.9,1.1,5.7,21.2,0.1,2.7,0,57.2,42.8,53.03,63.46,609,1560,660,8734
Glendora Unified (Los Angeles),Los Angeles,Unified School District,7444,0.1,8.6,1.2,2.2,43.3,0.1,4.5,0,40,60,56.36,66.68,393,912,847,8562
Glenn County Office of Education (Glenn),Glenn,County Office of Education (COE),384,3.9,1.3,0,0.3,47.7,0,3.1,1.3,42.4,57.6,6.67,23.33,N/A,N/A,N/A,N/A
Gold Oak Union Elementary (El Dorado),El Dorado,Elementary School District,489,2,1.4,1.4,0.2,11,0,2.5,0.2,81.2,18.8,41.88,49.35,306,871,565,8502
Gold Trail Union Elementary (El Dorado),El Dorado,Elementary School District,709,1.7,0.4,0.6,0.1,12,0.7,2.3,0.1,82.1,17.9,41.94,51.72,177,750,598,8139
Golden Feather Union Elementary (Butte),Butte,Elementary School District,193,2.1,1,0.5,1,15,1,6.2,0.5,72.5,27.5,17.78,22.22,2075,2348,1351,22674
Golden Plains Unified (Fresno),Fresno,Unified School District,1698,0.1,0.4,0.6,0,97.3,0,0,0,1.6,98.4,12.23,19.51,1321,972,617,11461
Golden Valley Unified (Madera),Madera,Unified School District,1940,1.1,2.2,1.4,0.5,41.6,0.2,2.1,0.3,50.7,49.3,47.61,59.64,210,845,444,8919
Goleta Union Elementary (Santa Barbara),Santa Barbara,Elementary School District,3541,0.1,6.1,0.8,0.8,49.8,0,5.6,0.6,36,64,58.89,61.92,390,1221,985,12416
Gonzales Unified (Monterey),Monterey,Unified School District,2371,0.5,0,0.1,0.5,97,0,0.2,0,1.6,98.4,14.95,27.78,763,1128,858,10740
Gorman Joint (Los Angeles),Los Angeles,Elementary School District,2604,0.3,2.6,5,1.6,33.4,0.2,4.6,4.5,47.9,52.1,21.15,40.38,117,1919,5225,10261
Grant Elementary (Shasta),Shasta,Elementary School District,648,1.5,2.3,0.5,0.3,10.8,0.5,7.9,0.3,75.9,24.1,68.56,76.35,241,708,1571,7733
Grass Valley Elementary (Nevada),Nevada,Elementary School District,1721,2,1.2,0.7,0.3,18.2,0.1,2.3,0,75.2,24.8,40.33,48.72,1527,1312,949,9617
Gratton Elementary (Stanislaus),Stanislaus,Elementary School District,144,0.7,2.8,1.4,1.4,17.4,0,2.1,0,74.3,25.7,55.06,62.92,342,551,531,9965
Gravenstein Union Elementary (Sonoma),Sonoma,Elementary School District,724,0.4,4.3,0.3,0.6,18.9,0.3,9.4,0.3,65.6,34.4,62.25,75.2,261,1434,843,10769
Graves Elementary (Monterey),Monterey,Elementary School District,40,0,5,0,2.5,67.5,2.5,2.5,0,20,80,56.52,56.52,639,1349,666,10002
Green Point Elementary (Humboldt),Humboldt,Elementary School District,14,0,0,0,0,0,0,0,0,100,0,redacted,redacted,1568,1972,456,16102
Greenfield Union (Kern),Kern,Elementary School District,9327,0.2,1.7,6.9,0.4,83.3,0,1.3,0,6.2,93.8,35.5,48.45,713,893,589,10090
