,GAME,FGM,FGA,FG%,FTM,FTA,FT%,3FGM,3FGA,3FG%,PTS,TEAM
6,3/26,39,83,47.0,21,24,87.5,9,30,30.0,108,Cleveland Cavaliers
7,3/23,42,89,47.2,20,26,76.9,12,32,37.5,116,Cleveland Cavaliers
8,3/21,42,83,50.6,17,21,81.0,14,29,48.3,115,Cleveland Cavaliers
9,3/17,48,87,55.2,17,22,77.3,4,19,21.1,117,Cleveland Cavaliers
10,3/15,40,85,47.1,15,22,68.2,14,41,34.1,109,Cleveland Cavaliers
11,3/14,45,88,51.1,16,19,84.2,14,30,46.7,120,Cleveland Cavaliers
12,3/12,41,87,47.1,25,34,73.5,7,27,25.9,114,Cleveland Cavaliers
13,3/10,40,86,46.5,17,21,81.0,18,43,41.9,115,Cleveland Cavaliers
14,3/8,39,80,48.8,17,19,89.5,9,28,32.1,104,Cleveland Cavaliers
15,3/6,43,96,44.8,20,25,80.0,12,34,35.3,118,Cleveland Cavaliers
16,3/4,45,91,49.5,10,18,55.6,14,34,41.2,114,Cleveland Cavaliers
17,3/1,45,92,48.9,13,21,61.9,10,32,31.3,113,Cleveland Cavaliers
18,2/26,44,84,52.4,12,14,85.7,18,36,50.0,118,Cleveland Cavaliers
19,2/24,40,88,45.5,26,29,89.7,13,35,37.1,119,Cleveland Cavaliers
20,2/23,43,90,47.8,17,20,85.0,6,26,23.1,109,Cleveland Cavaliers
21,2/15,41,82,50.0,20,25,80.0,10,30,33.3,112,Cleveland Cavaliers
22,2/13,44,78,56.4,20,25,80.0,9,28,32.1,117,Cleveland Cavaliers
23,2/11,36,86,41.9,16,19,84.2,9,35,25.7,97,Cleveland Cavaliers
24,2/10,48,85,56.5,12,15,80.0,10,28,35.7,118,Cleveland Cavaliers
25,2/8,43,87,49.4,21,25,84.0,6,26,23.1,113,Cleveland Cavaliers
26,2/6,44,78,56.4,14,20,70.0,12,29,41.4,114,Cleveland Cavaliers
27,2/5,46,88,52.3,15,16,93.8,15,37,40.5,122,Cleveland Cavaliers
28,2/2,49,91,53.8,16,22,72.7,14,29,48.3,128,Cleveland Cavaliers
29,1/31,40,83,48.2,6,12,50.0,11,40,27.5,97,Cleveland Cavaliers
30,1/29,44,78,56.4,14,19,73.7,20,33,60.6,122,Cleveland Cavaliers
31,1/27,39,88,44.3,14,18,77.8,8,29,27.6,100,Cleveland Cavaliers
32,1/26,40,88,45.5,18,22,81.8,15,36,41.7,113,Cleveland Cavaliers
33,1/24,40,87,46.0,11,16,68.8,12,33,36.4,103,Cleveland Cavaliers
34,1/21,48,86,55.8,11,17,64.7,7,22,31.8,114,Cleveland Cavaliers
35,1/20,42,84,50.0,16,19,84.2,14,33,42.4,114,Cleveland Cavaliers
36,1/18,42,82,51.2,14,21,66.7,16,35,45.7,114,Cleveland Cavaliers
37,1/16,39,80,48.8,26,33,78.8,9,28,32.1,113,Cleveland Cavaliers
38,1/14,37,76,48.7,20,23,87.0,8,28,28.6,102,Cleveland Cavaliers
39,1/12,44,89,49.4,24,31,77.4,7,22,31.8,119,Cleveland Cavaliers
40,1/10,42,90,46.7,20,24,83.3,10,37,27.0,114,Cleveland Cavaliers
41,1/8,45,78,57.7,11,17,64.7,11,29,37.9,112,Cleveland Cavaliers
42,1/6,40,88,45.5,18,32,56.3,10,26,38.5,108,Cleveland Cavaliers
43,1/4,30,77,39.0,19,23,82.6,11,36,30.6,90,Cleveland Cavaliers
44,1/2,48,92,52.2,33,45,73.3,16,46,34.8,145,Cleveland Cavaliers
